<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,135000,208.0100000,208.1100000,207.8800000,207.9700000
GAZP,1,20200302,135100,207.9300000,207.9500000,207.5500000,207.6600000
GAZP,1,20200302,135200,207.5600000,207.7000000,207.5000000,207.6500000
GAZP,1,20200302,135300,207.5900000,207.6300000,207.4500000,207.6000000
GAZP,1,20200302,135400,207.6000000,207.7000000,207.5300000,207.6800000
GAZP,1,20200302,135500,207.6800000,207.7000000,207.5400000,207.6200000
GAZP,1,20200302,135600,207.6200000,207.6500000,207.4700000,207.5700000
GAZP,1,20200302,135700,207.5100000,207.5900000,207.4500000,207.4600000
GAZP,1,20200302,135800,207.4600000,207.5200000,207.2000000,207.2600000
GAZP,1,20200302,135900,207.2500000,207.2500000,206.7200000,206.8000000
GAZP,1,20200302,140000,206.7700000,206.9500000,206.7100000,206.8300000
GAZP,1,20200302,140100,206.8300000,206.9600000,206.7700000,206.8700000
GAZP,1,20200302,140200,206.8500000,206.8700000,206.7700000,206.8200000
GAZP,1,20200302,140300,206.8200000,206.8600000,206.7200000,206.8000000
GAZP,1,20200302,140400,206.7900000,206.8000000,206.6800000,206.7200000
GAZP,1,20200302,140500,206.6800000,206.7100000,206.0100000,206.1700000
GAZP,1,20200302,140600,206.1300000,206.1400000,205.6100000,206.1400000
GAZP,1,20200302,140700,206.1400000,206.1400000,205.6500000,206.0000000
GAZP,1,20200302,140800,206.0000000,206.4400000,205.9300000,206.3600000
GAZP,1,20200302,140900,206.3500000,206.4000000,205.8800000,205.9500000
GAZP,1,20200302,141000,205.9500000,205.9500000,205.6600000,205.8200000
GAZP,1,20200302,141100,205.8100000,206.0300000,205.6500000,205.8700000
GAZP,1,20200302,141200,205.9400000,206.1000000,205.7700000,205.9500000
GAZP,1,20200302,141300,205.9300000,206.0000000,205.4300000,205.4300000
GAZP,1,20200302,141400,205.4300000,205.5400000,204.8300000,205.0000000
GAZP,1,20200302,141500,204.9000000,205.3500000,204.5500000,204.5500000
GAZP,1,20200302,141600,204.5500000,204.9000000,204.5100000,204.7800000
GAZP,1,20200302,141700,204.7600000,205.3200000,204.7000000,204.8000000
GAZP,1,20200302,141800,204.8400000,205.4700000,204.7700000,205.4700000
GAZP,1,20200302,141900,205.4700000,205.7200000,205.3100000,205.6500000
GAZP,1,20200302,142000,205.6600000,205.8300000,205.4300000,205.6600000
GAZP,1,20200302,142100,205.6700000,205.9300000,205.6200000,205.8700000
GAZP,1,20200302,142200,205.9200000,205.9200000,205.5300000,205.6000000
GAZP,1,20200302,142300,205.5900000,206.0600000,205.5300000,205.7800000
GAZP,1,20200302,142400,205.7700000,206.0900000,205.7700000,206.0000000
GAZP,1,20200302,142500,206.0000000,206.0900000,205.9200000,206.0000000
GAZP,1,20200302,142600,206.0000000,206.0000000,205.6900000,205.8000000
GAZP,1,20200302,142700,205.7800000,205.9000000,205.6900000,205.6900000
GAZP,1,20200302,142800,205.7200000,205.8000000,205.5300000,205.6000000
GAZP,1,20200302,142900,205.5500000,205.6700000,205.1500000,205.2600000
GAZP,1,20200302,143000,205.2200000,205.4800000,204.9000000,204.9800000
GAZP,1,20200302,143100,204.9600000,204.9600000,204.8000000,204.8000000
GAZP,1,20200302,143200,204.8300000,204.8700000,204.1900000,204.2000000
GAZP,1,20200302,143300,204.2700000,204.6000000,204.1400000,204.3800000
GAZP,1,20200302,143400,204.4200000,204.7500000,204.3500000,204.5900000
GAZP,1,20200302,143500,204.5900000,204.7600000,204.5000000,204.5900000
GAZP,1,20200302,143600,204.6100000,204.8800000,204.6100000,204.8300000
GAZP,1,20200302,143700,204.8300000,205.0500000,204.8000000,204.9600000
GAZP,1,20200302,143800,204.8600000,205.2600000,204.8500000,204.8500000
